Breakfast Cereals,Weight,Measure,Protein,Sugars,Fat,Carbohydrate,Calcium,Energy,Water
"Cereals ready-to-eat, QUAKER, QUAKER Honey Graham LIFE Cereal",32.0,0.75 cup (1 NLEA serving),4.3 g,366.0 mg,9.33 g,23.12 g,4.14 g,78.56 g,373.0 kcal
"Cereals ready-to-eat, QUAKER, QUAKER OAT CINNAMON LIFE",32.0,0.75 cup (1 NLEA serving),4.3 g,387.0 mg,9.14 g,25.18 g,4.1 g,79.02 g,374.0 kcal
"Cereals ready-to-eat, QUAKER, QUAKER OAT LIFE, plain",32.0,0.75 cup (1 NLEA serving),4.3 g,351.0 mg,9.98 g,19.43 g,4.43 g,77.74 g,374.0 kcal
"Cereals ready-to-eat, QUAKER, QUAKER Puffed Rice",14.0,0.75 cup (1 NLEA serving),3.91 g,9.0 mg,7.01 g,0.0 g,0.9 g,87.78 g,383.0 kcal
"Cereals ready-to-eat, QUAKER, QUAKER Puffed Wheat",15.0,1.0 cup (1 NLEA serving),3.69 g,24.0 mg,16.26 g,1.37 g,2.15 g,76.39 g,366.0 kcal
"Cereals ready-to-eat, QUAKER, Shredded Wheat, bagged cereal",63.0,3.0 biscuits (1 NLEA serving),4.2 g,45.0 mg,11.24 g,0.81 g,2.01 g,81.01 g,348.0 kcal
"Cereals ready-to-eat, QUAKER, SWEET CRUNCH/QUISP",27.0,1.0 cup (1 NLEA serving),2.0 g,9.0 mg,4.51 g,43.36 g,6.08 g,85.03 g,406.0 kcal
"Cereals ready-to-eat, QUAKER, Toasted Multigrain Crisps",57.0,1.25 cup (1 NLEA serving),4.0 g,242.0 mg,12.38 g,16.34 g,5.11 g,74.9 g,372.0 kcal
"Cereals ready-to-eat, RALSTON Corn Biscuits",30.0,1.0 cup (NLEA serving),3.59 g,378.0 mg,5.83 g,9.51 g,1.05 g,85.79 g,367.0 kcal
"Cereals ready-to-eat, RALSTON Corn Flakes",28.0,1.0 cup (1 NLEA serving),3.31 g,2.0 mg,5.9 g,7.84 g,0.91 g,88.01 g,357.0 kcal
"Cereals ready-to-eat, RALSTON CRISP RICE",33.0,1.25 cup (1 NLEA serving),3.62 g,5.0 mg,6.69 g,12.12 g,1.26 g,86.22 g,394.0 kcal
"Cereals ready-to-eat, RALSTON Crispy Hexagons",29.0,1.0 cup (1 NLEA serving),4.07 g,8.0 mg,5.94 g,13.79 g,0.95 g,86.78 g,379.0 kcal
"Cereals ready-to-eat, RALSTON Enriched Wheat Bran flakes",29.0,1.0 serving (NLEA serving size = 0.75 cup),2.53 g,45.0 mg,10.21 g,17.17 g,3.36 g,79.77 g,310.0 kcal
"Cereals ready-to-eat, RALSTON TASTEEOS",28.0,1.0 cup (1 NLEA serving),3.68 g,-- mg,10.71 g,3.57 g,5.36 g,75.5 g,357.0 kcal
"Cereals ready-to-eat, rice, puffed, fortified",14.0,1.0 cup,3.0 g,6.0 mg,6.3 g,-- g,0.5 g,89.8 g,402.0 kcal
"Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Honey Crunch Wheat Germ",14.0,2.0 tbsp (1 NLEA serving),3.4 g,50.0 mg,26.55 g,21.43 g,7.78 g,58.11 g,372.0 kcal
"Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Toasted Wheat Bran",16.0,0.25 cup (1 NLEA serving),11.72 g,66.0 mg,17.56 g,-- g,5.16 g,59.51 g,200.0 kcal
"Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Wheat Germ, Regular",14.0,2.0 tbsp (1 NLEA serving),4.78 g,50.0 mg,31.43 g,7.14 g,9.56 g,49.38 g,366.0 kcal
"Cereals ready-to-eat, UNCLE SAM CEREAL",55.0,0.75 cup (1 NLEA serving),4.43 g,95.0 mg,15.98 g,1.56 g,11.6 g,65.78 g,346.0 kcal
"Cereals ready-to-eat, USDA Commodity Corn and Rice (includes all commodity brands)",29.0,1.0 cup,3.78 g,10.0 mg,6.06 g,10.35 g,1.08 g,86.85 g,378.0 kcal
"Cereals ready-to-eat, USDA Commodity Rice Crisps (includes all commodity brands)",28.0,1.0 cup (1 NLEA serving),3.85 g,5.0 mg,6.45 g,8.35 g,1.27 g,86.04 g,381.0 kcal
"Cereals ready-to-eat, WEETABIX whole grain cereal",35.0,2.0 biscuits (1 NLEA serving),3.0 g,57.0 mg,11.43 g,5.71 g,2.86 g,81.5 g,371.0 kcal
"Cereals ready-to-eat, wheat and bran, presweetened with nuts and fruits",55.0,1.0 cup (1 NLEA serving),8.5 g,43.0 mg,7.1 g,23.6 g,5.6 g,76.2 g,385.0 kcal
"Cereals ready-to-eat, wheat germ, toasted, plain",28.35,1.0 oz,5.6 g,45.0 mg,29.1 g,7.8 g,10.7 g,49.6 g,382.0 kcal
"Cereals ready-to-eat, wheat, puffed, fortified",12.0,1.0 cup,3.0 g,28.0 mg,14.7 g,-- g,1.2 g,79.6 g,364.0 kcal
"Cereals, corn grits, white, regular and quick, enriched, cooked with water, with salt",257.0,1.0 cup,82.93 g,1.0 mg,1.71 g,0.12 g,0.46 g,14.76 g,71.0 kcal
"Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",257.0,1.0 cup,82.93 g,1.0 mg,1.71 g,0.12 g,0.46 g,14.76 g,71.0 kcal
"Cereals, corn grits, white, regular and quick, enriched, dry",9.7,1.0 tbsp,10.92 g,4.0 mg,7.65 g,0.57 g,1.75 g,79.09 g,370.0 kcal
"Cereals, corn grits, yellow, regular and quick, enriched, cooked with water, without salt",233.0,1.0 cup,84.36 g,1.0 mg,1.23 g,0.09 g,0.39 g,13.86 g,65.0 kcal
"Cereals, corn grits, yellow, regular and quick, enriched, dry",170.0,1.0 cup,11.37 g,4.0 mg,6.72 g,0.55 g,1.49 g,79.91 g,368.0 kcal
"Cereals, corn grits, yellow, regular and quick, unenriched, dry",9.7,1.0 tbsp,10.0 g,2.0 mg,8.8 g,0.64 g,1.2 g,79.6 g,371.0 kcal
"Cereals, corn grits, yellow, regular, quick, enriched, cooked with water, with salt",233.0,1.0 cup,84.36 g,1.0 mg,1.23 g,0.09 g,0.39 g,13.86 g,65.0 kcal
"Cereals, CREAM OF RICE, cooked with water, with salt",244.0,1.0 cup,87.5 g,1.0 mg,0.9 g,0.04 g,0.1 g,11.5 g,52.0 kcal
"Cereals, CREAM OF RICE, cooked with water, without salt",244.0,1.0 cup,87.5 g,1.0 mg,0.9 g,0.04 g,0.1 g,11.4 g,52.0 kcal
"Cereals, CREAM OF RICE, dry",45.0,0.25 cup (1 NLEA serving),10.5 g,5.0 mg,6.3 g,0.3 g,0.5 g,82.4 g,370.0 kcal
"Cereals, CREAM OF WHEAT, 1 minute cook time, cooked with water, microwaved, without salt",237.0,1.0 cup,86.51 g,126.0 mg,1.95 g,2.98 g,0.37 g,10.67 g,55.0 kcal
"Cereals, CREAM OF WHEAT, 1 minute cook time, cooked with water, stove-top, without salt",245.0,1.0 cup,86.4 g,125.0 mg,1.65 g,0.07 g,0.42 g,11.16 g,56.0 kcal
"Cereals, CREAM OF WHEAT, 1 minute cook time, dry",33.0,3.0 tablespoon (1 serving),11.41 g,801.0 mg,11.77 g,0.51 g,1.47 g,72.63 g,359.0 kcal
"Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, cooked with water, microwaved, without salt",231.0,1.0 cup,87.11 g,131.0 mg,1.88 g,0.34 g,0.37 g,10.1 g,52.0 kcal
"Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, cooked with water, stove-top, without salt",244.0,1.0 cup,86.2 g,104.0 mg,1.44 g,0.07 g,0.2 g,11.74 g,56.0 kcal
"Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, dry",33.0,3.0 tablespoon (1 NLEA serving),11.56 g,882.0 mg,11.61 g,0.47 g,1.41 g,71.79 g,355.0 kcal
"Cereals, CREAM OF WHEAT, instant, dry",11.5,1.0 tbsp,10.4 g,357.0 mg,10.6 g,0.4 g,1.4 g,75.5 g,366.0 kcal
"Cereals, CREAM OF WHEAT, instant, prepared with water, without salt",241.0,1.0 cup,84.4 g,64.0 mg,1.84 g,0.07 g,0.24 g,13.08 g,62.0 kcal
"Cereals, CREAM OF WHEAT, regular (10 minute), cooked with water, with salt",251.0,1.0 cup (1 serving),87.14 g,89.0 mg,1.46 g,0.03 g,0.21 g,10.66 g,50.0 kcal
"Cereals, CREAM OF WHEAT, regular (10 minute), cooked with water, without salt",251.0,1.0 cup (1 serving),87.61 g,87.0 mg,1.44 g,0.03 g,0.21 g,10.52 g,50.0 kcal
"Cereals, CREAM OF WHEAT, regular, 10 minute cooking, dry",10.6,1.0 tbsp,10.9 g,606.0 mg,10.5 g,0.2 g,1.5 g,76.5 g,370.0 kcal
"Cereals, farina, enriched, assorted brands including CREAM OF WHEAT, quick (1-3 minutes), cooked with water, without salt",240.0,1.0 cup,86.55 g,97.0 mg,1.82 g,0.76 g,0.34 g,10.92 g,55.0 kcal
"Cereals, farina, enriched, assorted brands including CREAM OF WHEAT, quick (1-3 minutes), dry",11.0,1.0 tbsp,11.08 g,711.0 mg,11.6 g,0.56 g,1.41 g,73.19 g,360.0 kcal
"Cereals, farina, enriched, cooked with water, with salt",233.0,1.0 cup,86.55 g,97.0 mg,1.82 g,0.76 g,0.34 g,10.92 g,53.0 kcal
"Cereals, farina, enriched, cooked with water, without salt",240.0,1.0 cup,86.55 g,97.0 mg,1.82 g,0.76 g,0.34 g,10.92 g,53.0 kcal
"Cereals, farina, unenriched, dry",10.9,1.0 tbsp,10.5 g,14.0 mg,10.6 g,-- g,0.5 g,78.0 g,369.0 kcal
"Cereals, KASHI GO LEAN Hot Cereal, Creamy TRULY VANILLA, dry",40.0,1.0 packet (1 NLEA serving),6.98 g,95.0 mg,22.29 g,14.8 g,5.3 g,61.09 g,360.0 kcal
"Cereals, KASHI GO LEAN Hot Cereal, Hearty Honey &amp; Cinnamon, dry",40.0,1.0 packet (1 NLEA serving),5.9 g,66.0 mg,18.39 g,17.7 g,5.3 g,68.0 g,367.0 kcal
"Cereals, KASHI HEART TO HEART, Instant Oatmeal, Apple Cinnamon, dry",43.0,1.0 packet (1 NLEA serving),8.39 g,47.0 mg,11.1 g,25.0 g,5.0 g,73.8 g,353.0 kcal
"Cereals, KASHI HEART TO HEART, Instant Oatmeal, golden brown maple, dry",43.0,1.0 packet (1 NLEA serving),8.6 g,25.0 mg,11.39 g,23.79 g,5.09 g,73.59 g,356.0 kcal
"Cereals, KELLOGG'S SPECIAL K NOURISH, Cinnamon Raisin Pecan, dry",52.0,1.0 Container (1 NLEA serving),9.19 g,385.0 mg,14.1 g,23.79 g,10.39 g,61.9 g,370.0 kcal
"Cereals, KELLOGG'S SPECIAL K NOURISH, Cranberry Almond, dry",52.0,1.0 Container (1 NLEA serving),8.5 g,385.0 mg,15.0 g,22.39 g,8.39 g,63.29 g,361.0 kcal
"Cereals, KELLOGG'S SPECIAL K NOURISH, Maple Brown Sugar Crunch, dry",52.0,1.0 Container (1 NLEA serving),7.59 g,385.0 mg,15.39 g,22.0 g,9.89 g,62.09 g,371.0 kcal
"Cereals, MALT-O-MEAL, chocolate, dry",35.0,3.0 tbsp (1 NLEA serving),6.69 g,375.0 mg,10.6 g,16.63 g,0.82 g,79.55 g,363.0 kcal
"Cereals, MALT-O-MEAL, chocolate, prepared with water, without salt",268.0,1.0 serving (3 T dry cereal plus 1 cup water),89.15 g,49.0 mg,1.37 g,2.17 g,0.1 g,9.22 g,47.0 kcal
"Cereals, MALT-O-MEAL, Farina Hot Wheat Cereal, dry",35.0,3.0 tbsp (1 NLEA serving),9.69 g,377.0 mg,10.48 g,0.7 g,0.49 g,77.2 g,365.0 kcal
"Cereals, MALT-O-MEAL, Maple &amp; Brown Sugar Hot Wheat Cereal, dry",45.0,0.25 cup (1 NLEA serving),5.9 g,318.0 mg,8.82 g,28.0 g,0.47 g,80.52 g,368.0 kcal
"Cereals, MALT-O-MEAL, original, plain, dry",35.0,3.0 tbsp (1 NLEA serving),10.35 g,286.0 mg,11.8 g,0.0 g,0.7 g,77.25 g,365.0 kcal
"Cereals, MALT-O-MEAL, original, plain, prepared with water, without salt",268.0,1.0 serving (3 T dry cereal plus 1 cup water),88.29 g,37.0 mg,1.67 g,0.13 g,0.09 g,10.09 g,48.0 kcal
"Cereals, oats, instant, fortified, maple and brown sugar, dry",43.0,1.0 packet,6.4 g,258.0 mg,9.25 g,30.28 g,4.73 g,76.67 g,368.0 kcal
"Cereals, oats, instant, fortified, plain, dry",28.0,1.0 packet,8.92 g,351.0 mg,11.92 g,1.5 g,6.9 g,69.52 g,362.0 kcal
"Cereals, oats, instant, fortified, plain, prepared with water (boiling water added or microwaved)",234.0,"1.0 cup, cooked",84.03 g,80.0 mg,2.37 g,0.46 g,1.36 g,11.67 g,68.0 kcal
"Cereals, oats, instant, fortified, with cinnamon and spice, dry",45.0,1.0 packet,6.92 g,234.0 mg,9.53 g,25.33 g,4.84 g,76.08 g,369.0 kcal
"Cereals, oats, instant, fortified, with cinnamon and spice, prepared with water",240.0,1.0 cup,76.74 g,61.0 mg,2.37 g,6.31 g,1.21 g,18.95 g,96.0 kcal
"Cereals, oats, instant, fortified, with raisins and spice, dry",44.0,1.0 packet,8.44 g,228.0 mg,8.45 g,37.14 g,4.03 g,76.33 g,360.0 kcal
"Cereals, oats, instant, fortified, with raisins and spice, prepared with water",240.0,1.0 cup,78.44 g,56.0 mg,1.98 g,8.71 g,0.95 g,17.91 g,88.0 kcal
"Cereals, oats, regular and quick and instant, unenriched, cooked with water (includes boiling and microwaving), with salt",234.0,1.0 cup,83.61 g,9.0 mg,2.54 g,0.27 g,1.52 g,12.0 g,71.0 kcal
"Cereals, oats, regular and quick, not fortified, dry",81.0,1.0 cup,10.84 g,52.0 mg,13.15 g,0.99 g,6.52 g,67.7 g,379.0 kcal
"Cereals, oats, regular and quick, unenriched, cooked with water (includes boiling and microwaving), without salt",234.0,1.0 cup,83.61 g,9.0 mg,2.54 g,0.27 g,1.52 g,12.0 g,71.0 kcal
"Cereals, QUAKER, corn grits, instant, cheddar cheese flavor, dry",28.0,1.0 packet (1 NLEA serving),6.71 g,418.0 mg,8.98 g,2.76 g,5.46 g,72.96 g,363.0 kcal
"Cereals, QUAKER, corn grits, instant, plain, dry",29.0,1.0 packet,7.2 g,378.0 mg,7.31 g,1.51 g,2.14 g,78.42 g,343.0 kcal
"Cereals, QUAKER, corn grits, instant, plain, prepared (microwaved or boiling water added), without salt",219.0,1.0 cup,81.22 g,64.0 mg,1.58 g,0.1 g,0.49 g,15.95 g,74.0 kcal
"Cereals, QUAKER, hominy grits, white, quick, dry",37.0,0.25 cup,10.0 g,2.0 mg,8.8 g,0.3 g,1.2 g,79.6 g,348.0 kcal
"Cereals, QUAKER, hominy grits, white, regular, dry",41.0,0.25 cup (1 NLEA serving),10.0 g,2.0 mg,8.8 g,0.64 g,1.6 g,79.2 g,361.0 kcal
"Cereals, QUAKER, Instant Grits Product with American Cheese Flavor, dry",28.0,1.0 packet (1 NLEA serving),6.8 g,418.0 mg,8.8 g,2.02 g,4.67 g,74.18 g,360.0 kcal
"Cereals, QUAKER, Instant Grits, Butter flavor, dry",28.0,1.0 packet (1 NLEA serving),6.59 g,413.0 mg,8.12 g,0.88 g,5.64 g,74.83 g,369.0 kcal
"Cereals, QUAKER, Instant Grits, Country Bacon flavor, dry",28.0,1.0 packet (1 NLEA serving),7.37 g,418.0 mg,9.93 g,0.38 g,1.73 g,75.39 g,340.0 kcal
"Cereals, QUAKER, Instant Grits, Ham 'n' Cheese flavor, dry",28.0,1.0 packet (1 NLEA serving),6.82 g,409.0 mg,10.73 g,2.69 g,4.68 g,71.08 g,355.0 kcal
"Cereals, QUAKER, Instant Grits, Redeye Gravy &amp; Country Ham flavor, dry",28.0,1.0 packet (1 NLEA serving),7.06 g,441.0 mg,9.83 g,0.71 g,1.58 g,75.86 g,342.0 kcal
"Cereals, QUAKER, Instant Oatmeal Organic, Regular",41.0,1.0 packet,8.8 g,52.0 mg,16.0 g,1.0 g,6.3 g,67.0 g,367.0 kcal
"Cereals, QUAKER, Instant Oatmeal, Apple and Cinnamon, reduced sugar",31.0,1.0 packet (1 NLEA serving),7.94 g,355.0 mg,10.29 g,17.78 g,5.64 g,72.17 g,358.0 kcal
"Cereals, QUAKER, Instant Oatmeal, apples and cinnamon, dry",43.0,1.0 packet (1 NLEA serving),6.62 g,243.0 mg,8.62 g,28.87 g,4.61 g,76.74 g,366.0 kcal
"Cereals, QUAKER, Instant Oatmeal, Banana Bread, dry",41.0,1.0 packet (1 NLEA serving),6.77 g,277.0 mg,8.97 g,29.45 g,4.85 g,75.7 g,368.0 kcal
"Cereals, QUAKER, Instant Oatmeal, Cinnamon Spice, reduced sugar",34.0,1.0 packet (1 NLEA serving),8.45 g,313.0 mg,11.26 g,11.91 g,6.11 g,69.45 g,358.0 kcal
"Cereals, QUAKER, Instant Oatmeal, Cinnamon Swirl, high fiber",45.0,1.0 packet (1 NLEA serving),7.52 g,278.0 mg,8.79 g,14.7 g,4.8 g,75.67 g,366.0 kcal
"Cereals, QUAKER, Instant Oatmeal, Cinnamon-Spice, dry",43.0,1.0 packet (1 NLEA serving),7.37 g,229.0 mg,10.39 g,21.14 g,5.1 g,74.52 g,369.0 kcal
"Cereals, QUAKER, Instant Oatmeal, DINOSAUR EGGS, Brown Sugar, dry",50.0,1.0 packet (1 NLEA serving),6.87 g,220.0 mg,8.69 g,28.91 g,7.59 g,73.68 g,384.0 kcal
"Cereals, QUAKER, Instant Oatmeal, fruit and cream variety, dry",35.0,1.0 packet,6.56 g,307.0 mg,8.3 g,31.27 g,6.37 g,75.42 g,379.0 kcal
"Cereals, QUAKER, Instant Oatmeal, fruit and cream, variety of flavors, reduced sugar",33.0,1.0 packet,7.39 g,246.0 mg,10.16 g,17.66 g,7.46 g,71.57 g,376.0 kcal
"Cereals, QUAKER, Instant Oatmeal, maple and brown sugar, dry",43.0,1.0 packet,6.28 g,226.0 mg,9.2 g,30.02 g,4.63 g,76.91 g,368.0 kcal
"Cereals, QUAKER, Instant Oatmeal, Raisin and Spice, dry",43.0,1.0 packet (1 NLEA serving),8.45 g,235.0 mg,9.11 g,35.65 g,4.0 g,75.68 g,360.0 kcal
"Cereals, QUAKER, Instant Oatmeal, raisins, dates and walnuts, dry",37.0,1.0 packet,8.35 g,297.0 mg,8.82 g,30.85 g,6.98 g,72.41 g,371.0 kcal
"Cereals, QUAKER, Instant Oatmeal, weight control, cinnamon",45.0,1.0 packet (1 NLEA serving),9.09 g,245.0 mg,16.5 g,1.27 g,6.28 g,64.21 g,361.0 kcal
"Cereals, QUAKER, Oat Bran, QUAKER/MOTHER'S Oat Bran, dry",40.0,0.5 cup (1 NLEA serving),8.9 g,79.0 mg,17.03 g,1.43 g,7.97 g,62.94 g,364.0 kcal
"Cereals, QUAKER, oatmeal, REAL MEDLEYS, apple walnut, dry",75.0,1.0 package (1 NLEA serving),7.8 g,57.0 mg,8.18 g,29.36 g,10.36 g,70.53 g,390.0 kcal
"Cereals, QUAKER, oatmeal, REAL MEDLEYS, blueberry hazelnut, dry",70.0,1.0 package (1 NLEA serving),7.47 g,64.0 mg,9.81 g,18.71 g,9.8 g,69.47 g,386.0 kcal
"Cereals, QUAKER, oatmeal, REAL MEDLEYS, cherry pistachio, dry",73.0,1.0 package (1 NLEA serving),6.59 g,132.0 mg,12.02 g,26.34 g,11.02 g,66.73 g,394.0 kcal
"Cereals, QUAKER, oatmeal, REAL MEDLEYS, peach almond, dry",75.0,1.0 package (1 NLEA serving),8.1 g,105.0 mg,10.1 g,24.85 g,9.84 g,68.61 g,387.0 kcal
"Cereals, QUAKER, oatmeal, REAL MEDLEYS, summer berry, dry",70.0,1.0 package (1 NLEA serving),7.57 g,124.0 mg,11.31 g,20.43 g,4.4 g,72.58 g,353.0 kcal
"Cereals, QUAKER, QUAKER MultiGrain Oatmeal, dry",40.0,0.5 cup (1 NLEA serving),10.35 g,36.0 mg,12.64 g,2.46 g,2.73 g,72.62 g,334.0 kcal
"Cereals, QUAKER, Quick Oats with Iron, Dry",40.0,0.5 cup,9.38 g,47.0 mg,13.7 g,1.42 g,6.87 g,68.18 g,371.0 kcal
"Cereals, QUAKER, Quick Oats, Dry",40.0,0.5 cup,9.37 g,47.0 mg,13.7 g,1.42 g,6.87 g,68.18 g,371.0 kcal
"Cereals, QUAKER, Weight Control Instant Oatmeal, banana bread",45.0,1.0 packet (1 NLEA serving),9.04 g,243.0 mg,16.5 g,1.29 g,6.16 g,64.42 g,361.0 kcal
"Cereals, QUAKER, Weight Control Instant Oatmeal, maple and brown sugar",45.0,1.0 packet (1 NLEA serving),9.02 g,268.0 mg,16.37 g,1.25 g,6.2 g,64.25 g,361.0 kcal
"Cereals, QUAKER, Whole Wheat Natural Cereal, dry",40.0,0.5 cup,9.8 g,44.0 mg,11.8 g,-- g,2.0 g,74.8 g,333.0 kcal
"Cereals, ready-to-eat, MALT-O-MEAL, Blueberry Mini SPOONERS",55.0,1.0 cup (1 NLEA serving),4.4 g,33.0 mg,8.81 g,18.44 g,1.92 g,79.4 g,350.0 kcal
"Cereals, WHEATENA, cooked with water",243.0,1.0 cup,85.4 g,80.0 mg,2.0 g,-- g,0.5 g,11.8 g,56.0 kcal
"Cereals, WHEATENA, cooked with water, with salt",243.0,1.0 cup,85.4 g,80.0 mg,2.03 g,0.25 g,0.45 g,11.74 g,59.0 kcal
"Cereals, WHEATENA, dry",40.0,0.33 cup (1 NLEA serving),6.5 g,500.0 mg,13.1 g,1.6 g,2.9 g,75.6 g,357.0 kcal
"Cereals, whole wheat hot natural cereal, cooked with water, with salt",242.0,1.0 cup,83.6 g,7.0 mg,2.0 g,0.08 g,0.4 g,13.7 g,62.0 kcal
"Cereals, whole wheat hot natural cereal, cooked with water, without salt",242.0,1.0 cup,83.6 g,7.0 mg,2.0 g,0.08 g,0.4 g,13.7 g,62.0 kcal
"Cereals, whole wheat hot natural cereal, dry",94.0,1.0 cup,9.9 g,40.0 mg,11.2 g,0.42 g,2.0 g,75.2 g,342.0 kcal
"Incaparina, dry mix (corn and soy flours), unprepared",8.9,1.0 tbsp,7.47 g,600.0 mg,21.75 g,-- g,5.58 g,60.53 g,379.0 kcal
"Millet, puffed",21.0,1.0 cup,2.5 g,8.0 mg,13.0 g,0.55 g,3.4 g,80.0 g,354.0 kcal
