Fruits and Fruit Juices,Weight,Measure,Protein,Sugars,Fat,Carbohydrate,Calcium,Energy,Water
"Abiyuch, raw",114.0,0.5 cup,79.9 g,8.0 mg,1.5 g,8.55 g,0.1 g,17.6 g,69.0 kcal
"Acerola juice, raw",242.0,1.0 cup,94.3 g,10.0 mg,0.4 g,4.5 g,0.3 g,4.8 g,23.0 kcal
"Acerola, (west indian cherry), raw",98.0,1.0 cup,91.41 g,12.0 mg,0.4 g,-- g,0.3 g,7.69 g,32.0 kcal
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",248.0,1.0 cup,88.24 g,8.0 mg,0.1 g,9.62 g,0.13 g,11.3 g,46.0 kcal
"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",177.0,6.0 fl oz,87.92 g,70.0 mg,0.12 g,9.47 g,0.17 g,11.49 g,48.0 kcal
"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",248.0,1.0 cup,88.24 g,8.0 mg,0.1 g,9.62 g,0.13 g,11.3 g,46.0 kcal
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",239.0,1.0 cup,87.9 g,6.0 mg,0.14 g,10.93 g,0.1 g,11.54 g,47.0 kcal
"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",239.0,1.0 cup,87.9 g,6.0 mg,0.14 g,-- g,0.1 g,11.54 g,47.0 kcal
"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",211.0,1.0 can (6 fl oz),57.0 g,20.0 mg,0.51 g,38.83 g,0.37 g,41.0 g,166.0 kcal
"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",211.0,1.0 can (6 fl oz),57.0 g,20.0 mg,0.51 g,38.83 g,0.37 g,41.0 g,166.0 kcal
"Apples, canned, sweetened, sliced, drained, heated",204.0,1.0 cup slices,82.28 g,4.0 mg,0.18 g,14.84 g,0.43 g,16.84 g,67.0 kcal
"Apples, canned, sweetened, sliced, drained, unheated",204.0,1.0 cup slices,82.36 g,4.0 mg,0.18 g,15.0 g,0.49 g,16.7 g,67.0 kcal
"Apples, dehydrated (low moisture), sulfured, stewed",193.0,1.0 cup,79.36 g,4.0 mg,0.28 g,-- g,0.12 g,19.91 g,74.0 kcal
"Apples, dehydrated (low moisture), sulfured, uncooked",60.0,1.0 cup,3.0 g,19.0 mg,1.32 g,81.13 g,0.58 g,93.53 g,346.0 kcal
"Apples, dried, sulfured, stewed, with added sugar",280.0,1.0 cup,78.76 g,3.0 mg,0.2 g,-- g,0.07 g,20.73 g,83.0 kcal
"Apples, dried, sulfured, stewed, without added sugar",255.0,1.0 cup,84.13 g,3.0 mg,0.22 g,13.32 g,0.07 g,15.32 g,57.0 kcal
"Apples, dried, sulfured, uncooked",86.0,1.0 cup,31.76 g,14.0 mg,0.93 g,57.19 g,0.32 g,65.89 g,243.0 kcal
"Apples, frozen, unsweetened, heated",206.0,1.0 cup slices,87.16 g,5.0 mg,0.29 g,-- g,0.33 g,12.0 g,47.0 kcal
"Apples, frozen, unsweetened, unheated",173.0,1.0 cup slices,86.85 g,4.0 mg,0.28 g,10.1 g,0.32 g,12.31 g,48.0 kcal
"Apples, raw, fuji, with skin",109.0,"1.0 cup, sliced",84.16 g,7.0 mg,0.2 g,11.68 g,0.18 g,15.22 g,63.0 kcal
"Apples, raw, gala, with skin",109.0,"1.0 cup, sliced",85.76 g,7.0 mg,0.25 g,10.37 g,0.12 g,13.68 g,57.0 kcal
"Apples, raw, golden delicious, with skin",109.0,"1.0 cup, sliced",85.81 g,6.0 mg,0.28 g,10.04 g,0.15 g,13.6 g,57.0 kcal
"Apples, raw, granny smith, with skin",109.0,"1.0 cup, sliced",85.46 g,5.0 mg,0.44 g,9.59 g,0.19 g,13.61 g,58.0 kcal
"Apples, raw, red delicious, with skin",109.0,"1.0 cup, sliced",85.33 g,6.0 mg,0.27 g,10.48 g,0.2 g,14.06 g,59.0 kcal
"Apples, raw, with skin",125.0,"1.0 cup, quartered or chopped",85.56 g,6.0 mg,0.26 g,10.39 g,0.17 g,13.81 g,52.0 kcal
"Apples, raw, without skin",110.0,1.0 cup slices,86.67 g,5.0 mg,0.27 g,10.1 g,0.13 g,12.76 g,48.0 kcal
"Apples, raw, without skin, cooked, boiled",171.0,1.0 cup slices,85.47 g,5.0 mg,0.26 g,11.01 g,0.36 g,13.64 g,53.0 kcal
"Apples, raw, without skin, cooked, microwave",170.0,1.0 cup slices,84.63 g,5.0 mg,0.28 g,11.61 g,0.42 g,14.41 g,56.0 kcal
"Applesauce, canned, sweetened, with salt",255.0,1.0 cup,79.58 g,4.0 mg,0.18 g,-- g,-- g,19.91 g,76.0 kcal
"Applesauce, canned, sweetened, without salt (includes USDA commodity)",246.0,1.0 cup,81.98 g,3.0 mg,0.16 g,14.67 g,0.17 g,17.49 g,68.0 kcal
"Applesauce, canned, unsweetened, with added ascorbic acid",244.0,1.0 cup,88.22 g,4.0 mg,0.17 g,9.39 g,0.1 g,11.27 g,42.0 kcal
"Applesauce, canned, unsweetened, without added ascorbic acid (includes USDA commodity)",244.0,1.0 cup,88.22 g,4.0 mg,0.17 g,9.39 g,0.1 g,11.27 g,42.0 kcal
"Apricot nectar, canned, with added ascorbic acid",251.0,1.0 cup,84.87 g,7.0 mg,0.37 g,13.24 g,0.09 g,14.39 g,56.0 kcal
"Apricot nectar, canned, without added ascorbic acid",251.0,1.0 cup,84.87 g,7.0 mg,0.37 g,13.79 g,0.09 g,14.39 g,56.0 kcal
"Apricots, canned, extra heavy syrup pack, without skin, solids and liquids",246.0,"1.0 cup, whole, without pits",74.33 g,8.0 mg,0.55 g,-- g,0.04 g,24.85 g,96.0 kcal
"Apricots, canned, extra light syrup pack, with skin, solids and liquids",247.0,"1.0 cup, halves",86.3 g,10.0 mg,0.6 g,-- g,0.1 g,12.5 g,49.0 kcal
"Apricots, canned, heavy syrup pack, with skin, solids and liquids",258.0,"1.0 cup, halves",77.56 g,9.0 mg,0.53 g,19.87 g,0.08 g,21.47 g,83.0 kcal
"Apricots, canned, heavy syrup pack, without skin, solids and liquids",258.0,"1.0 cup, whole, without pits",77.66 g,9.0 mg,0.51 g,-- g,0.09 g,21.45 g,83.0 kcal
"Apricots, canned, heavy syrup, drained",219.0,"1.0 cup, halves",77.56 g,10.0 mg,0.64 g,18.65 g,0.11 g,21.31 g,83.0 kcal
"Apricots, canned, juice pack, with skin, solids and liquids",244.0,"1.0 cup, halves",86.62 g,12.0 mg,0.63 g,10.74 g,0.04 g,12.34 g,48.0 kcal
"Apricots, canned, light syrup pack, with skin, solids and liquids",253.0,"1.0 cup, halves",82.56 g,11.0 mg,0.53 g,14.89 g,0.05 g,16.49 g,63.0 kcal
"Apricots, canned, water pack, with skin, solids and liquids",243.0,"1.0 cup, halves",92.36 g,8.0 mg,0.71 g,4.79 g,0.16 g,6.39 g,27.0 kcal
"Apricots, canned, water pack, without skin, solids and liquids",227.0,"1.0 cup, whole, without pits",93.43 g,8.0 mg,0.69 g,-- g,0.03 g,5.48 g,22.0 kcal
"Apricots, dehydrated (low-moisture), sulfured, stewed",249.0,1.0 cup,63.6 g,24.0 mg,1.93 g,-- g,0.24 g,32.62 g,126.0 kcal
"Apricots, dehydrated (low-moisture), sulfured, uncooked",119.0,1.0 cup,7.5 g,61.0 mg,4.9 g,-- g,0.62 g,82.89 g,320.0 kcal
"Apricots, dried, sulfured, stewed, with added sugar",270.0,"1.0 cup, halves",68.45 g,15.0 mg,1.17 g,-- g,0.15 g,29.26 g,113.0 kcal
"Apricots, dried, sulfured, stewed, without added sugar",250.0,"1.0 cup, halves",75.56 g,19.0 mg,1.2 g,19.57 g,0.18 g,22.15 g,85.0 kcal
"Apricots, dried, sulfured, uncooked",130.0,"1.0 cup, halves",30.89 g,55.0 mg,3.39 g,53.44 g,0.51 g,62.64 g,241.0 kcal
"Apricots, frozen, sweetened",242.0,1.0 cup,73.3 g,10.0 mg,0.7 g,-- g,0.1 g,25.1 g,98.0 kcal
"Apricots, raw",155.0,"1.0 cup, halves",86.35 g,13.0 mg,1.4 g,9.24 g,0.39 g,11.12 g,48.0 kcal
"Avocados, raw, all commercial varieties",150.0,"1.0 cup, cubes",73.23 g,12.0 mg,2.0 g,0.66 g,14.66 g,8.53 g,160.0 kcal
"Avocados, raw, California",230.0,"1.0 cup, pureed",72.33 g,13.0 mg,1.96 g,0.3 g,15.41 g,8.64 g,167.0 kcal
"Avocados, raw, Florida",230.0,"1.0 cup, pureed",78.81 g,10.0 mg,2.23 g,2.42 g,10.06 g,7.82 g,120.0 kcal
"Bananas, dehydrated, or banana powder",100.0,1.0 cup,3.0 g,22.0 mg,3.89 g,47.3 g,1.81 g,88.28 g,346.0 kcal
"Bananas, raw",225.0,"1.0 cup, mashed",74.91 g,5.0 mg,1.09 g,12.23 g,0.33 g,22.84 g,89.0 kcal
"Blackberries, canned, heavy syrup, solids and liquids",256.0,1.0 cup,75.06 g,21.0 mg,1.31 g,19.7 g,0.14 g,23.1 g,92.0 kcal
"Blackberries, frozen, unsweetened",151.0,"1.0 cup, unthawed",82.21 g,29.0 mg,1.18 g,10.67 g,0.43 g,15.67 g,64.0 kcal
"Blackberries, raw",144.0,1.0 cup,88.15 g,29.0 mg,1.39 g,4.88 g,0.49 g,9.61 g,43.0 kcal
"Blackberry juice, canned",250.0,1.0 cup,90.9 g,12.0 mg,0.3 g,7.7 g,0.6 g,7.8 g,38.0 kcal
"Blueberries, canned, heavy syrup, solids and liquids",256.0,1.0 cup,76.78 g,5.0 mg,0.65 g,20.46 g,0.33 g,22.06 g,88.0 kcal
"Blueberries, canned, light syrup, drained",244.0,1.0 cup,75.72 g,6.0 mg,1.04 g,17.45 g,0.4 g,22.66 g,88.0 kcal
"Blueberries, dried, sweetened",40.0,0.25 cup,14.8 g,19.0 mg,2.5 g,67.5 g,-- g,80.0 g,317.0 kcal
"Blueberries, frozen, sweetened",230.0,"1.0 cup, thawed",77.4 g,6.0 mg,0.4 g,19.72 g,0.13 g,21.95 g,85.0 kcal
"Blueberries, frozen, unsweetened",155.0,"1.0 cup, unthawed",86.59 g,8.0 mg,0.42 g,8.45 g,0.64 g,12.17 g,51.0 kcal
"Blueberries, raw",148.0,1.0 cup,84.21 g,6.0 mg,0.74 g,9.96 g,0.33 g,14.49 g,57.0 kcal
"Blueberries, wild, canned, heavy syrup, drained",319.0,1.0 cup,70.63 g,19.0 mg,0.56 g,19.28 g,0.34 g,28.32 g,107.0 kcal
"Blueberries, wild, frozen",140.0,"1.0 cup, frozen",85.8 g,17.0 mg,0.0 g,-- g,0.16 g,13.85 g,57.0 kcal
"Boysenberries, canned, heavy syrup",256.0,1.0 cup,76.26 g,18.0 mg,0.99 g,-- g,0.12 g,22.31 g,88.0 kcal
"Boysenberries, frozen, unsweetened",132.0,"1.0 cup, unthawed",85.9 g,27.0 mg,1.1 g,6.89 g,0.26 g,12.19 g,50.0 kcal
"Breadfruit, raw",220.0,1.0 cup,70.65 g,17.0 mg,1.07 g,11.0 g,0.23 g,27.12 g,103.0 kcal
"Carambola, (starfruit), raw",132.0,"1.0 cup, cubes",91.38 g,3.0 mg,1.04 g,3.98 g,0.33 g,6.73 g,31.0 kcal
"Carissa, (natal-plum), raw",150.0,1.0 cup slices,84.17 g,11.0 mg,0.5 g,-- g,1.3 g,13.63 g,62.0 kcal
"Cherimoya, raw",160.0,"1.0 cup, pieces",79.39 g,10.0 mg,1.57 g,12.87 g,0.68 g,17.71 g,75.0 kcal
"Cherries, sour, canned, water pack, drained",168.0,1.0 cup,88.31 g,11.0 mg,0.69 g,6.99 g,0.21 g,10.45 g,42.0 kcal
"Cherries, sour, red, canned, extra heavy syrup pack, solids and liquids",261.0,1.0 cup,69.73 g,10.0 mg,0.71 g,-- g,0.09 g,29.23 g,114.0 kcal
"Cherries, sour, red, canned, heavy syrup pack, solids and liquids",256.0,1.0 cup,75.66 g,10.0 mg,0.73 g,22.17 g,0.1 g,23.27 g,91.0 kcal
"Cherries, sour, red, canned, light syrup pack, solids and liquids",252.0,1.0 cup,79.62 g,10.0 mg,0.74 g,-- g,0.1 g,19.3 g,75.0 kcal
"Cherries, sour, red, canned, water pack, solids and liquids (includes USDA commodity red tart cherries, canned)",244.0,1.0 cup,89.93 g,11.0 mg,0.77 g,7.6 g,0.1 g,8.94 g,36.0 kcal
"Cherries, sour, red, frozen, unsweetened",155.0,"1.0 cup, unthawed",87.2 g,13.0 mg,0.92 g,9.02 g,0.44 g,11.02 g,46.0 kcal
"Cherries, sour, red, raw",155.0,"1.0 cup, without pits",86.13 g,16.0 mg,1.0 g,8.49 g,0.3 g,12.18 g,50.0 kcal
"Cherries, sweet, canned, extra heavy syrup pack, solids and liquids",261.0,"1.0 cup, pitted",72.66 g,9.0 mg,0.59 g,-- g,0.15 g,26.23 g,102.0 kcal
"Cherries, sweet, canned, juice pack, solids and liquids",250.0,"1.0 cup, pitted",84.95 g,14.0 mg,0.91 g,12.31 g,0.02 g,13.81 g,54.0 kcal
"Cherries, sweet, canned, light syrup pack, solids and liquids",252.0,"1.0 cup, pitted",81.56 g,9.0 mg,0.61 g,15.79 g,0.15 g,17.29 g,67.0 kcal
"Cherries, sweet, canned, pitted, heavy syrup pack, solids and liquids",253.0,1.0 cup,77.61 g,9.0 mg,0.6 g,16.18 g,0.15 g,21.27 g,83.0 kcal
"Cherries, sweet, canned, pitted, heavy syrup, drained",179.0,1.0 cup,77.61 g,10.0 mg,0.73 g,16.18 g,0.21 g,21.07 g,83.0 kcal
"Cherries, sweet, canned, water pack, solids and liquids",248.0,"1.0 cup, pitted",87.05 g,11.0 mg,0.77 g,10.26 g,0.13 g,11.76 g,46.0 kcal
"Cherries, sweet, frozen, sweetened",259.0,"1.0 cup, thawed",75.53 g,12.0 mg,1.15 g,20.26 g,0.13 g,22.36 g,89.0 kcal
"Cherries, sweet, raw",138.0,"1.0 cup, with pits, yields",82.25 g,13.0 mg,1.06 g,12.82 g,0.2 g,16.01 g,63.0 kcal
"Cherries, tart, dried, sweetened",40.0,0.25 cup,16.6 g,38.0 mg,1.25 g,67.15 g,0.73 g,80.45 g,333.0 kcal
"Clementines, raw",74.0,1.0 fruit,86.58 g,30.0 mg,0.85 g,9.18 g,0.15 g,12.02 g,47.0 kcal
"Crabapples, raw",110.0,1.0 cup slices,78.94 g,18.0 mg,0.4 g,-- g,0.3 g,19.95 g,76.0 kcal
"Cranberries, dried, sweetened",40.0,0.25 cup,15.79 g,9.0 mg,0.17 g,72.56 g,1.09 g,82.8 g,308.0 kcal
"Cranberries, raw",110.0,"1.0 cup, chopped",87.32 g,8.0 mg,0.46 g,4.27 g,0.13 g,11.97 g,46.0 kcal
"Cranberry juice blend, 100% juice, bottled, with added vitamin C and calcium",200.0,6.75 fl oz,88.6 g,19.0 mg,0.27 g,9.8 g,0.12 g,10.91 g,45.0 kcal
"Cranberry juice, unsweetened",253.0,1.0 cup,87.13 g,8.0 mg,0.39 g,12.1 g,0.13 g,12.2 g,46.0 kcal
"Cranberry sauce, canned, sweetened",277.0,1.0 cup,58.45 g,3.0 mg,0.9 g,31.75 g,0.15 g,40.4 g,159.0 kcal
"Cranberry sauce, jellied, canned, OCEAN SPRAY",70.0,0.25 cup,58.2 g,3.0 mg,1.05 g,32.2 g,0.04 g,40.61 g,160.0 kcal
"Cranberry sauce, whole, canned, OCEAN SPRAY",70.0,0.25 cup,58.7 g,3.0 mg,0.75 g,31.3 g,0.05 g,40.4 g,158.0 kcal
"Cranberry-orange relish, canned",275.0,1.0 cup,53.2 g,11.0 mg,0.3 g,-- g,0.1 g,46.2 g,178.0 kcal
"Currants, european black, raw",112.0,1.0 cup,81.96 g,55.0 mg,1.4 g,-- g,0.41 g,15.38 g,63.0 kcal
"Currants, red and white, raw",112.0,1.0 cup,83.95 g,33.0 mg,1.4 g,7.37 g,0.2 g,13.8 g,56.0 kcal
"Currants, zante, dried",144.0,1.0 cup,19.21 g,86.0 mg,4.08 g,67.28 g,0.27 g,74.08 g,283.0 kcal
"Dates, deglet noor",147.0,"1.0 cup, chopped",20.53 g,39.0 mg,2.45 g,63.35 g,0.39 g,75.03 g,282.0 kcal
"Dates, medjool",24.0,"1.0 date, pitted",21.32 g,64.0 mg,1.81 g,66.47 g,0.15 g,74.97 g,277.0 kcal
"Durian, raw or frozen",243.0,"1.0 cup, chopped or diced",64.99 g,6.0 mg,1.47 g,-- g,5.33 g,27.09 g,147.0 kcal
"Elderberries, raw",145.0,1.0 cup,79.8 g,38.0 mg,0.66 g,-- g,0.5 g,18.4 g,73.0 kcal
"Feijoa, raw",243.0,"1.0 cup, pureed",83.28 g,17.0 mg,0.71 g,8.2 g,0.42 g,15.21 g,61.0 kcal
"Figs, canned, extra heavy syrup pack, solids and liquids",261.0,1.0 cup,71.39 g,26.0 mg,0.38 g,-- g,0.1 g,27.86 g,107.0 kcal
"Figs, canned, heavy syrup pack, solids and liquids",259.0,1.0 cup,76.33 g,27.0 mg,0.38 g,20.7 g,0.1 g,22.9 g,88.0 kcal
"Figs, canned, light syrup pack, solids and liquids",252.0,1.0 cup,81.26 g,27.0 mg,0.39 g,16.15 g,0.1 g,17.95 g,69.0 kcal
"Figs, canned, water pack, solids and liquids",248.0,1.0 cup,85.21 g,28.0 mg,0.4 g,11.79 g,0.1 g,13.99 g,53.0 kcal
"Figs, dried, stewed",259.0,1.0 cup,69.8 g,70.0 mg,1.42 g,23.35 g,0.4 g,27.57 g,107.0 kcal
"Figs, dried, uncooked",149.0,1.0 cup,30.05 g,162.0 mg,3.3 g,47.92 g,0.93 g,63.87 g,249.0 kcal
"Figs, raw",64.0,"1.0 large (2-1/2"" dia)",79.11 g,35.0 mg,0.75 g,16.26 g,0.3 g,19.18 g,74.0 kcal
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra heavy syrup, solids and liquids",130.0,0.5 cup,76.43 g,6.0 mg,0.39 g,-- g,0.07 g,22.89 g,88.0 kcal
